episode_id,scene_id,cache_missing,baseline_success,candidate_success,delta_success,baseline_oracle_success,candidate_oracle_success,delta_oracle_success,baseline_spl,candidate_spl,delta_spl,baseline_ndtw,candidate_ndtw,delta_ndtw,baseline_sdtw,candidate_sdtw,delta_sdtw,baseline_distance_to_goal,candidate_distance_to_goal,delta_distance_to_goal,baseline_steps_taken,candidate_steps_taken,delta_steps_taken,baseline_path_length,candidate_path_length,delta_path_length,baseline_collisions,candidate_collisions,delta_collisions,baseline_stop_error,candidate_stop_error,delta_stop_error
1,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9429388089030235,0.9429388089030235,0.0,0.9429388089030235,0.9429388089030235,0.0,0.8068112134933472,0.8068112134933472,0.0,41.0,41.0,0.0,7.500001907348633,7.500001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9429388089030235,0.9429388089030235,0.0,0.9429388089030235,0.9429388089030235,0.0,0.8068112134933472,0.8068112134933472,0.0,41.0,41.0,0.0,7.500001907348633,7.500001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9429388089030235,0.9429388089030235,0.0,0.9429388089030235,0.9429388089030235,0.0,0.8068112134933472,0.8068112134933472,0.0,41.0,41.0,0.0,7.500001907348633,7.500001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4923657546422849,0.5608288185092779,0.06846306386699302,0.0,0.0,0.0,7.400137901306152,7.331089496612549,-0.06904840469360352,90.0,75.0,-15.0,11.037290573120117,9.39334487915039,-1.6439456939697266,0.16326530612244897,0.3695652173913043,0.20629991126885536,0.0,0.0,0.0
5,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.8430159585348727,0.0,-0.8430159585348727,0.8655524624292783,0.4818619550897622,-0.3836905073395161,0.8655524624292783,0.0,-0.8655524624292783,0.797720730304718,7.969918727874756,7.172197997570038,111.0,88.0,-23.0,11.459604263305664,10.975362777709961,-0.4842414855957031,0.3148148148148148,0.34615384615384615,0.03133903133903132,0.0,0.0,0.0
6,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.8540246440293754,0.7535031907778071,-0.10052145325156825,0.8251163446971721,0.8297919462334286,0.004675601536256457,0.8251163446971721,0.8297919462334286,0.004675601536256457,1.1264197826385498,0.3805042803287506,-0.7459155023097992,115.0,128.0,13.0,11.311885833740234,12.820953369140625,1.5090675354003906,0.36363636363636365,0.32786885245901637,-0.03576751117734728,0.0,0.0,0.0
7,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9957915966765253,1.0,0.004208403323474719,0.9502403960777535,0.959264501554123,0.00902410547636956,0.9502403960777535,0.959264501554123,0.00902410547636956,1.074582576751709,0.8840233087539673,-0.1905592679977417,54.0,47.0,-7.0,10.496437072753906,9.749999046325684,-0.7464380264282227,0.023255813953488372,0.0,-0.023255813953488372,0.0,0.0,0.0
8,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.959264501554123,0.959264501554123,0.0,0.959264501554123,0.959264501554123,0.0,0.8840233087539673,0.8840233087539673,0.0,47.0,47.0,0.0,9.749999046325684,9.749999046325684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477693111571876,0.5463239905279639,0.06863087895608788,0.0,0.0,0.0,9.65466022491455,9.117965698242188,-0.5366945266723633,60.0,55.0,-5.0,12.206552505493164,11.455612182617188,-0.7509403228759766,0.0,0.0,0.0,0.0,0.0,0.0
10,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4664192354267501,0.4664192354267501,0.0,0.0,0.0,0.0,4.687075614929199,4.687075614929199,0.0,54.0,54.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.8621781667073568,0.8621781667073568,0.0,0.8432483809079323,0.8432483809079323,0.0,0.8432483809079323,0.8432483809079323,0.0,0.9826689958572388,0.9826689958572388,0.0,37.0,37.0,0.0,8.25,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4354318180969989,0.4354318180969989,0.0,0.0,0.0,0.0,4.937219142913818,4.937219142913818,0.0,54.0,54.0,0.0,12.249999046325684,12.249999046325684,0.0,0.0,0.0,0.0,1.0,1.0,0.0
13,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9441309826616747,1.0,0.05586901733832528,0.9567362201196138,0.9646195193350778,0.007883299215464046,0.9567362201196138,0.9646195193350778,0.007883299215464046,0.35421207547187805,0.9292094111442566,0.5749973356723785,64.0,59.0,-5.0,12.749998092651367,11.499998092651367,-1.25,0.0,0.0,0.0,0.0,0.0,0.0
14,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9459393227588216,0.9459393227588216,0.0,0.9404891245715092,0.9404891245715092,0.0,0.9404891245715092,0.9404891245715092,0.0,0.2235850691795349,0.2235850691795349,0.0,67.0,67.0,0.0,12.725624084472656,12.725624084472656,0.0,0.09615384615384616,0.09615384615384616,0.0,0.0,0.0,0.0
15,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.8770215586602892,0.0,-0.8770215586602892,0.9078055129398515,0.6093567564989861,-0.2984487564408653,0.9078055129398515,0.0,-0.9078055129398515,1.2110750675201416,8.04448413848877,6.833409070968628,72.0,52.0,-20.0,13.725624084472656,8.749998092651367,-4.975625991821289,0.08928571428571429,0.0,-0.08928571428571429,0.0,0.0,0.0
16,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8922818666653523,0.8922818666653523,0.0,0.8922818666653523,0.8922818666653523,0.0,2.2286908626556396,2.2286908626556396,0.0,40.0,40.0,0.0,6.503945350646973,6.503945350646973,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0
17,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.009250277108826165,0.3690269353799687,0.3597766582711426,0.0,0.0,0.0,10.735626220703125,11.153071403503418,0.41744518280029297,199.0,111.0,-88.0,29.50406265258789,17.007539749145508,-12.496522903442383,0.008403361344537815,0.014492753623188406,0.006089392278650591,0.0,1.0,1.0
18,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008947864187247443,0.008947864187247443,0.0,0.0,0.0,0.0,8.487829208374023,8.487829208374023,0.0,203.0,203.0,0.0,30.50406265258789,30.50406265258789,0.0,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0
19,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.911497531484362,0.911497531484362,0.0,0.7018417153985697,0.7018417153985697,0.0,0.7018417153985697,0.7018417153985697,0.0,0.34143200516700745,0.34143200516700745,0.0,87.0,87.0,0.0,14.487374305725098,14.487374305725098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37865113296216674,0.37865113296216674,0.0,0.0,0.0,0.0,4.92535924911499,4.92535924911499,0.0,61.0,61.0,0.0,11.624261856079102,11.624261856079102,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0
21,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.8255871115831441,0.911497531484362,0.08591041990121784,0.6790458970602787,0.7018417153985697,0.02279581833829092,0.6790458970602787,0.7018417153985697,0.02279581833829092,0.34143200516700745,0.34143200516700745,0.0,107.0,87.0,-20.0,15.994927406311035,14.487374305725098,-1.5075531005859375,0.0,0.0,0.0,0.0,0.0,0.0
22,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9142145193380425,1.0,0.08578548066195746,0.9342196686735798,0.936200082499479,0.0019804138258991966,0.9342196686735798,0.936200082499479,0.0019804138258991966,0.2974698841571808,0.996239960193634,0.6987700760364532,49.0,43.0,-6.0,9.161970138549805,7.911970615386963,-1.2499995231628418,0.0,0.0,0.0,0.0,0.0,0.0
23,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.936200082499479,0.936200082499479,0.0,0.936200082499479,0.936200082499479,0.0,0.996239960193634,0.996239960193634,0.0,43.0,43.0,0.0,7.911970615386963,7.911970615386963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6628916536811296,0.6628916536811296,0.0,0.0,0.0,0.0,5.448633193969727,5.448633193969727,0.0,98.0,98.0,0.0,11.786622047424316,11.786622047424316,0.0,0.0,0.0,0.0,1.0,1.0,0.0
25,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8624839848847469,0.8624839848847469,0.0,0.8624839848847469,0.8624839848847469,0.0,2.236529588699341,2.236529588699341,0.0,78.0,78.0,0.0,12.00000286102295,12.00000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9243463794574558,0.9243463794574558,0.0,0.9052005033912061,0.9052005033912061,0.0,0.9052005033912061,0.9052005033912061,0.0,0.8075020909309387,0.8075020909309387,0.0,88.0,88.0,0.0,13.750001907348633,13.750001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9414639025845135,0.9251041502384544,-0.01635975234605913,0.901467643214585,0.8699501439735411,-0.031517499241043856,0.901467643214585,0.8699501439735411,-0.031517499241043856,1.26711905002594,1.4517461061477661,0.18462705612182617,90.0,86.0,-4.0,13.500001907348633,13.738739013671875,0.2387371063232422,0.0,0.017857142857142856,0.017857142857142856,0.0,0.0,0.0
28,mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6284425595593182,0.6284425595593182,0.0,0.0,0.0,0.0,8.859955787658691,8.859955787658691,0.0,122.0,122.0,0.0,8.127616882324219,8.127616882324219,0.0,0.5151515151515151,0.5151515151515151,0.0,0.0,0.0,0.0
29,mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6284425595593182,0.6284425595593182,0.0,0.0,0.0,0.0,8.859955787658691,8.859955787658691,0.0,98.0,98.0,0.0,8.127616882324219,8.127616882324219,0.0,0.5151515151515151,0.5151515151515151,0.0,0.0,0.0,0.0
30,mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015338754959021,0.7015338754959021,0.0,0.0,0.0,0.0,8.85738754272461,8.85738754272461,0.0,56.0,56.0,0.0,7.357223987579346,7.357223987579346,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0
31,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5119051310048295,0.5119051310048295,0.0,0.0,0.0,0.0,4.729847431182861,4.729847431182861,0.0,155.0,155.0,0.0,17.61492919921875,17.61492919921875,0.0,0.0,0.0,0.0,1.0,1.0,0.0
32,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.8759519184779415,0.7700181570323583,-0.1059337614455832,0.8943855208078025,0.8662686626835687,-0.028116858124233812,0.8943855208078025,0.8662686626835687,-0.028116858124233812,1.070844054222107,1.113002061843872,0.04215800762176514,53.0,64.0,11.0,7.2628092765808105,8.26197624206543,0.9991669654846191,0.0,0.0,0.0,0.0,0.0,0.0
33,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.7700181570323583,0.7700181570323583,0.0,0.8662686626835687,0.8662686626835687,0.0,0.8662686626835687,0.8662686626835687,0.0,1.113002061843872,1.113002061843872,0.0,64.0,64.0,0.0,8.26197624206543,8.26197624206543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9814048626344758,0.9814048626344758,0.0,0.9364259799840663,0.9364259799840663,0.0,0.9364259799840663,0.9364259799840663,0.0,0.39711809158325195,0.39711809158325195,0.0,38.0,38.0,0.0,7.32413387298584,7.32413387298584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9814048626344758,0.9814048626344758,0.0,0.9364259799840663,0.9364259799840663,0.0,0.9364259799840663,0.9364259799840663,0.0,0.39711809158325195,0.39711809158325195,0.0,38.0,38.0,0.0,7.32413387298584,7.32413387298584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9814048626344758,0.9814048626344758,0.0,0.9364259799840663,0.9364259799840663,0.0,0.9364259799840663,0.9364259799840663,0.0,0.39711809158325195,0.39711809158325195,0.0,38.0,38.0,0.0,7.32413387298584,7.32413387298584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9526048890218718,0.9526048890218718,0.0,0.9526048890218718,0.9526048890218718,0.0,0.8641429543495178,0.8641429543495178,0.0,49.0,49.0,0.0,8.192215919494629,8.192215919494629,0.0,0.20588235294117646,0.20588235294117646,0.0,0.0,0.0,0.0
38,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9378619943013152,0.9378619943013152,0.0,0.9416080245640869,0.9416080245640869,0.0,0.9416080245640869,0.9416080245640869,0.0,0.4141988158226013,0.4141988158226013,0.0,55.0,55.0,0.0,9.442215919494629,9.442215919494629,0.0,0.1794871794871795,0.1794871794871795,0.0,0.0,0.0,0.0
39,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9042875055016676,0.9042875055016676,0.0,0.9042875055016676,0.9042875055016676,0.0,2.072024345397949,2.072024345397949,0.0,43.0,43.0,0.0,6.942215919494629,6.942215919494629,0.0,0.2413793103448276,0.2413793103448276,0.0,0.0,0.0,0.0
40,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9974942528414087,0.9974942528414087,0.0,0.947648230417133,0.947648230417133,0.0,0.947648230417133,0.947648230417133,0.0,0.5907740592956543,0.5907740592956543,0.0,76.0,76.0,0.0,15.000001907348633,15.000001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929642402464409,0.6929642402464409,0.0,0.0,0.0,0.0,7.193060398101807,7.193060398101807,0.0,98.0,98.0,0.0,16.250003814697266,16.250003814697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9974942528414087,0.9974942528414087,0.0,0.947648230417133,0.947648230417133,0.0,0.947648230417133,0.947648230417133,0.0,0.5907740592956543,0.5907740592956543,0.0,76.0,76.0,0.0,15.000001907348633,15.000001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9541422622361029,0.9541422622361029,0.0,0.8926992129383357,0.8926992129383357,0.0,0.8926992129383357,0.8926992129383357,0.0,0.5438604950904846,0.5438604950904846,0.0,68.0,68.0,0.0,11.48206901550293,11.48206901550293,0.0,0.04081632653061224,0.04081632653061224,0.0,0.0,0.0,0.0
44,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.5702156193482021,0.0,-0.5702156193482021,0.1891285172385794,0.22236890572305942,0.03324038848448002,0.1891285172385794,0.0,-0.1891285172385794,2.946096420288086,13.274782180786133,10.328685760498047,105.0,70.0,-35.0,19.212955474853516,11.741588592529297,-7.471366882324219,0.036585365853658534,0.038461538461538464,0.0018761726078799293,0.0,0.0,0.0
45,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9541422622361029,0.9541422622361029,0.0,0.8926992129383357,0.8926992129383357,0.0,0.8926992129383357,0.8926992129383357,0.0,0.5438604950904846,0.5438604950904846,0.0,68.0,68.0,0.0,11.48206901550293,11.48206901550293,0.0,0.04081632653061224,0.04081632653061224,0.0,0.0,0.0,0.0
46,mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9877784799593384,1.0,0.012221520040661571,0.929021963849008,0.8879965069831174,-0.04102545686589065,0.929021963849008,0.8879965069831174,-0.04102545686589065,1.37800133228302,2.377946615219116,0.9999452829360962,65.0,61.0,-4.0,10.177139282226562,9.177140235900879,-0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0.0
47,mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8604195312172502,0.8604195312172502,0.0,0.8604195312172502,0.8604195312172502,0.0,2.20732045173645,2.20732045173645,0.0,61.0,61.0,0.0,9.641895294189453,9.641895294189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
